stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600009.SH,20260709,0,20859768,8837471,12022297,-458210,-3029002,-458210,-972030,0,2112613,2570823,6573665,9602667,0,22.68,22.62,1971,1899,0,0,1709,262,1583,126,262,911,988,9500084,10975823,-0.002645502645502589
600009.SH,20260709,1,8943299,3308222,5635077,-785731,-1437224,-785731,-1482134,0,784710,1570441,2575462,4012686,0,22.62,22.58,1129,1112,0,0,1098,31,1025,73,31,597,515,3272257,5551427,-0.0017683465959329222
600009.SH,20260709,2,5167462.22,2152321,3015141.22,-142016,-693688.22,-142016,-675544.22,0,178458,320474,1987421,2681109.22,0,22.58,22.58,721,706,0,0,705,16,632,73,16,380,326,2100406,2987997.22,0
600009.SH,20260709,3,5801611,3572814,2228797,431289,967220,431289,1471674,0,467465,36176,3132595,2165375,0,22.59,22.72,661,643,0,0,612,49,546,66,49,383,260,3686695,1947055,0.006200177147918538
600009.SH,20260709,4,5517333,3609039,1908294,1666054,812061,1666054,559345,0,1677383,11329,2320341,1508280,0,22.71,22.7,765,735,0,0,711,54,625,86,54,531,204,3742015,1530325,-0.0008802816901408263
600009.SH,20260709,5,4573204.4,3493014,1080190.4,391228.6,1734945,391228.6,1498367,0,618656,227427.4,2731033,996088,0,22.7,22.73,650,635,0,0,622,28,585,37,28,475,160,3195013,1321342.4,0.0013215859030837505
600009.SH,20260709,6,3057374.6,1463582,1593792.6,-390122.6,255376,-390122.6,441710,0,68149,458271.6,1393165,1137789,0,22.73,22.68,444,426,0,0,440,4,422,18,4,241,185,1493231,1375738.6,-0.00219973603167623
600009.SH,20260709,7,1820691,843619,977072,-56681,-113076,-56681,-149144,0,2270,58951,823197,936273,0,22.68,22.69,252,233,0,0,252,0,244,8,0,81,152,675979,974732,0.0004409171075838432
600009.SH,20260709,8,4598624,766282,3832342,562935,-2222209,562935,-1754411,0,735153,172218,734522,2956731,0,22.69,22.65,344,330,0,0,337,7,311,26,7,108,222,1692239,2854261,-0.001762891141472133
600009.SH,20260709,9,1959007,611585,1347422,31726,-767563,31726,-744855,0,33990,2264,577595,1345158,0,22.68,22.62,308,307,0,0,308,0,281,27,0,116,191,600259,1336068,-0.0013245033112581717
600009.SH,20260709,10,3226606,848376,2378230,-221635,-1511799,-221635,-1294599,0,11315,232950,735271,2247070,0,22.63,22.62,349,342,0,0,344,5,324,20,5,156,186,843873,2353324,0
600009.SH,20260709,11,5387520.82,921467.13,4466053.69,-948039.04,-2596547.5200000005,-948039.04,-2379625.5200000005,0,22600,970639.04,898867.13,3495414.6500000004,0,22.62,22.59,405,401,0,0,405,0,396,9,0,109,292,1027670.13,4316931.69,-0.0013262599469496524
600009.SH,20260709,12,16464653.870000001,1639901.04,14824752.83,-1016304.13,-10476707.66,-1016304.13,-9961361.92,0,872746.87,1889051,1613074.17,12089781.83,0,22.59,22.49,961,945,0,0,940,21,910,30,21,198,747,2732217.91,13540844.96,-0.004426737494466641
600009.SH,20260709,13,5312741,1854929,3457812,-499777,-967866,-499777,-589538,0,139705,639482,1782844,2750710,0,22.5,22.5,508,484,0,0,498,10,431,67,10,274,210,2050930,3090698,0.0004446420631392425
600009.SH,20260709,14,19108987,2025452,17083535,-3745790,-11576863,-3745790,-11249259,0,127898,3873688,1765269,13342132,0,22.5,22.43,1293,1265,0,0,1239,54,1152,87,54,244,1021,1962668,16973561,-0.003111111111111124
600009.SH,20260709,15,5036807,1644701,3392106,24843,-1776734,24843,-1489332,0,172816,147973,1469642,3246376,0,22.43,22.44,520,483,0,0,499,21,442,57,21,221,262,1705367,3091289,0.0004458314757022543
600009.SH,20260709,16,5229817,3905226,1324591,2322808,235913,2322808,109949,0,2842102,519294,1052167,816254,0,22.43,22.51,331,319,0,0,327,4,299,28,4,186,133,3811057,1333338,0.003119429590017838
600009.SH,20260709,17,1721268,828048,893220,9072,56358,9072,-370862,0,155322,146250,738027,681669,0,22.51,22.49,219,194,0,0,217,2,182,35,2,83,111,585233,911086,-0.0008884940026656209
600009.SH,20260709,18,1916321,1174271,742050,312811,60988,312811,34022,0,355506,42695,789554,728566,0,22.5,22.5,348,333,0,0,344,4,305,39,4,184,149,1095583,726283,0.0004446420631392425
600009.SH,20260709,19,2845735,884120,1961615,599336,187003,599336,110553,0,1028704,429368,787333,600330,0,22.5,22.48,321,319,0,0,288,33,246,42,33,188,131,1773312,1063425,-0.00088888888888887
600009.SH,20260709,20,1985471.48,1227890,757581.48,20244,450064.52,20244,634445.48,0,20244,0,1207646,757581.48,0,22.47,22.51,201,201,0,0,200,1,187,13,1,96,105,1320080.48,665391,0.0013345195729537872
600009.SH,20260709,21,1733617,767888,965729,-197986,145,-197986,-49443,0,13514,211500,754374,754229,0,22.51,22.52,236,230,0,0,233,3,211,22,3,137,93,743094,965753,0.00044424700133265257
600009.SH,20260709,22,2837938,854671,1983267,-444796,-912860,-444796,157608,0,238496,683292,501645,1414505,0,22.51,22.47,321,313,0,0,313,8,259,54,8,132,181,1268631,1535578,-0.002220248667850831
600009.SH,20260709,23,1703521,782351,921170,-15711,-159060,-15711,-127612,0,20241,35952,744134,903194,0,22.47,22.49,150,144,0,0,150,0,135,15,0,72,72,759873,887470,0.0008900756564307777
600009.SH,20260709,24,4201204,2028863,2172341,-367006,214516,-367006,180601,425817,243035,610041,1781322,1566806,0,22.49,22.48,460,445,0,0,444,16,393,51,16,200,245,1774205,1924580,-0.00044464206313908454
