stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000001.SZ,20260709,0,97301819.0,37345585.0,59956234.0,-10635114.0,-5651979.0,-10635114.0,-4702439.0,0.0,12398943.0,23034057.0,28108420.0,33760399.0,0.0,10.55,10.53,4867,4803,0,0,4867,0,4863,4,0,2422,2381,40443211.0,56185253.0,-0.0018957345971565259
000001.SZ,20260709,1,45976384.0,20029325.0,25947059.0,-5089004.0,2330560.0,-5089004.0,3526592.0,0.0,4013893.0,9102897.0,17595077.0,15264517.0,0.0,10.53,10.51,5704,5679,0,0,5704,0,5675,29,0,3018,2661,22066191.0,23720045.0,-0.0018993352326685255
000001.SZ,20260709,2,34318404.0,9856803.0,24461601.0,1635479.0,-7510671.0,1635479.0,1814347.0,0.0,5063514.0,3428035.0,9158092.0,16668763.0,0.0,10.51,10.52,3457,3444,0,0,3457,0,3456,1,0,1260,2184,18883063.0,15418509.0,0.0009514747859181529
000001.SZ,20260709,3,28178779.68,19670075.68,8508704.0,140330.0,9632049.68,140330.0,8721216.32,0.0,2351868.0,2211538.0,16623711.68,6991662.0,0.0,10.52,10.56,3180,3159,0,0,3180,0,3179,1,0,1988,1171,18467363.0,9626937.68,0.003802281368821381
000001.SZ,20260709,4,41892880.0,25499549.0,16393331.0,-15990439.0,3993819.0,-15990439.0,-5153011.0,0.0,3153824.0,19144263.0,11794306.0,7800487.0,0.0,10.57,10.51,3019,3019,0,0,3019,0,3018,1,0,682,2337,10374715.0,31518165.0,-0.004734848484848552
000001.SZ,20260709,5,19277284.0,15239705.0,4037579.0,4541022.0,6661104.0,4541022.0,5980796.0,0.0,5059614.0,518592.0,10180091.0,3518987.0,0.0,10.51,10.54,1423,1413,0,0,1423,0,1422,1,0,710,703,14894286.0,4337719.0,0.002854424357754459
000001.SZ,20260709,6,13428781.0,6485019.0,6943762.0,148849.0,-607592.0,148849.0,1348800.0,0.0,148849.0,0.0,6336170.0,6943762.0,0.0,10.55,10.53,2492,2492,0,0,2492,0,2489,3,0,1429,1063,7463215.0,5965566.0,-0.0009487666034155396
000001.SZ,20260709,7,5305228.0,3822661.0,1482567.0,131895.0,2208199.0,131895.0,2241813.0,0.0,131895.0,0.0,3690766.0,1482567.0,0.0,10.53,10.55,911,911,0,0,911,0,911,0,0,498,413,3839468.0,1465760.0,0.0018993352326686942
000001.SZ,20260709,8,12889016.94,3780887.0,9108129.94,-2570328.0,-2756914.94,-2570328.0,-2883594.94,0.0,199584.0,2769912.0,3581303.0,6338217.94,0.0,10.55,10.53,1472,1472,0,0,1472,0,1472,0,0,358,1114,3717547.0,9171469.94,-0.0018957345971565259
000001.SZ,20260709,9,6797882.75,3912743.0,2885139.75,0.0,1027603.25,0.0,24195.25,0.0,0.0,0.0,3912743.0,2885139.75,0.0,10.54,10.53,1369,1369,0,0,1369,0,1369,0,0,737,632,3411039.0,3386843.75,0.0
000001.SZ,20260709,10,12546339.0,6095247.0,6451092.0,-734946.0,379101.0,-734946.0,459242.99999999994,0.0,36889.99999999999,771836.0,6058357.0,5679256.0,0.0,10.54,10.54,1729,1729,0,0,1729,0,1729,0,0,829,900,6135318.0,6411021.0,0.0009496676163342628
000001.SZ,20260709,11,10701504.0,5138618.0,5562886.0,-51597.0,-372671.0,-51597.0,5452583.0,0.0,0.0,51597.0,5138618.0,5511289.0,0.0,10.53,10.54,1231,1231,0,0,1231,0,1231,0,0,878,353,8051245.0,2650259.0,0.0
000001.SZ,20260709,12,5247517.0,1499270.54,3748246.46,2110.0,-2251085.92,2110.0,-1928639.0,0.0,2110.0,0.0,1497160.54,3748246.46,0.0,10.54,10.52,1225,1225,0,0,1225,0,1225,0,0,318,907,1660494.0,3587023.0,-0.0018975332068310792
000001.SZ,20260709,13,17976584.0,10981475.0,6995109.0,3720099.0,1319267.0,3720099.0,1336141.0,0.0,3720099.0,0.0,7787876.0,6468609.0,0.0,10.53,10.55,1196,1196,0,0,1196,0,1185,11,0,621,575,11516412.0,6460172.0,0.0028517110266160777
000001.SZ,20260709,14,7030411.0,2404405.5,4626005.5,-593402.0,-1628198.0,-593402.0,-3489495.0,0.0,0.0,593402.0,2404405.5,4032603.5,0.0,10.55,10.53,987,987,0,0,987,0,987,0,0,300,687,1473757.0,5556654.0,-0.0018957345971565259
000001.SZ,20260709,15,9305829.0,7143323.0,2162506.0,149810.0,4831007.0,149810.0,5039679.0,0.0,149810.0,0.0,6993513.0,2162506.0,0.0,10.53,10.55,1029,1009,0,0,1029,0,1029,0,0,715,294,7170659.0,2027581.0,0.0018993352326686942
000001.SZ,20260709,16,21983485.0,15922117.0,6061368.0,1796618.0,8064131.0,1796618.0,9327645.0,0.0,1930797.0,134179.0,13991320.0,5927189.0,0.0,10.55,10.58,1462,1462,0,0,1462,0,1461,1,0,927,535,16553874.0,5429611.0,0.0028436018957345363
000001.SZ,20260709,17,5784591.0,1698832.0,4085759.0,0.0,-2386927.0,0.0,-2630033.0,0.0,0.0,0.0,1698832.0,4085759.0,0.0,10.57,10.55,685,685,0,0,685,0,685,0,0,140,545,1577279.0,4207312.0,-0.0028355387523628884
000001.SZ,20260709,18,6434686.0,4200128.0,2234558.0,-9486.0,1975056.0,-9486.0,2390726.0,0.0,0.0,9486.0,4200128.0,2225072.0,0.0,10.56,10.54,780,780,0,0,780,0,780,0,0,519,261,4407963.0,2026723.0,-0.0009478672985783472
000001.SZ,20260709,19,7457599.0,2533894.0,4923705.0,22179.0,-2411990.0,22179.0,-2049068.0,0.0,23232.0,1053.0,2510662.0,4922652.0,0.0,10.55,10.53,954,954,0,0,954,0,954,0,0,345,609,2715355.0,4742244.0,-0.0009487666034155396
000001.SZ,20260709,20,10652951.0,4921313.0,5731638.0,911805.0,-1722130.0,911805.0,-2669810.0,0.0,916012.9999999999,4208.0,4005300.0,5727430.0,0.0,10.53,10.56,1131,1131,0,0,1131,0,1130,1,0,677,454,4447473.0,6205478.0,0.002849002849002957
000001.SZ,20260709,21,14496356.0,6284958.0,8211398.0,-2122894.0,196454.0,-2122894.0,430390.0,0.0,597237.0,2720131.0,5687721.0,5491267.0,0.0,10.56,10.57,903,893,0,0,903,0,902,1,0,449,444,6359726.0,8030075.0,0.0009469696969696767
000001.SZ,20260709,22,7912520.0,1091778.0,6820742.0,-3162872.0,-2566092.0,-3162872.0,-1800648.0,0.0,0.0,3162872.0,1091778.0,3657870.0,0.0,10.56,10.54,404,404,0,0,404,0,404,0,0,144,260,1474500.0,6438020.0,-0.0028382213812678464
000001.SZ,20260709,23,7599576.0,5675109.0,1924467.0,1660570.0,2246212.0,1660570.0,3733648.0,0.0,1660570.0,0.0,4092609.0,1846397.0,0.0,10.54,10.55,550,550,0,0,550,0,550,0,0,422,128,6496897.0,1102679.0,0.0009487666034157081
000001.SZ,20260709,24,8454799.0,4226651.0,4228148.0,-360417.0,358920.0,-360417.0,170970.0,0.0,57046.0,417463.0,4169605.0,3810685.0,0.0,10.54,10.54,1381,1381,0,0,1381,0,1381,0,0,597,784,4132676.0,4322123.0,-0.0009478672985783472
000001.SZ,20260709,25,7690831.0,3989132.0,3701699.0,21102.0,266331.0,21102.0,78719.0,0.0,22155.0,1053.0,3966977.0,3700646.0,0.0,10.54,10.53,897,897,0,0,897,0,897,0,0,332,565,3895326.0,3795505.0,-0.0009487666034155396
000001.SZ,20260709,26,4432490.0,1769716.0,2662774.0,0.0,-893058.0,0.0,-1217382.0,0.0,0.0,0.0,1769716.0,2662774.0,0.0,10.54,10.53,533,533,0,0,533,0,533,0,0,201,332,1607554.0,2824936.0,0.0
